action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,target_name
,,2247155,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CCCN1C(=O)/C(=C2/C(=O)N(CC(=O)O)c3ccccc32)SC1=S,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '12.11', 'le': '0.25', 'lle': '3.37', 'sei': '4.27'}",CHEMBL462261,,CHEMBL462261,4.92,0,http://www.openphacts.org/units/Nanomolar,748443,=,1,1,=,,IC50,nM,,12000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,12.0,PIM1 kinase
,,2247156,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(Oc1cc(OC(C)C(=O)O)c2c(c1)oc(=O)c1ccccc12)C(=O)O,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '13.69', 'le': '0.26', 'lle': '2.45', 'sei': '4.13'}",CHEMBL460782,,CHEMBL460782,5.10,0,http://www.openphacts.org/units/Nanomolar,748444,=,1,1,=,,IC50,nM,,8000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,8.0,PIM1 kinase
,,2247157,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CC1OC(=O)c2cc3c(cc21)C(=O)OC3CC(=O)O,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '16.19', 'le': '0.31', 'lle': '3.90', 'sei': '3.90'}",CHEMBL460783,,CHEMBL460783,4.96,0,http://www.openphacts.org/units/Nanomolar,748445,=,1,1,=,,IC50,nM,,11000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,11.0,PIM1 kinase
,,2247158,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1nc2ccc(C(=O)O)cc2c(O)c1CCC(=O)O,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '17.07', 'le': '0.32', 'lle': '2.74', 'sei': '4.36'}",CHEMBL448036,,CHEMBL448036,4.70,0,http://www.openphacts.org/units/Nanomolar,748446,=,1,1,=,,IC50,nM,,20000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,20.0,PIM1 kinase
,,2247159,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CSc1cc(-c2ccccc2)nc(SCC(=O)O)n1,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '14.04', 'le': '0.29', 'lle': '2.22', 'sei': '4.70'}",CHEMBL460784,,CHEMBL460784,4.72,0,http://www.openphacts.org/units/Nanomolar,748447,=,1,1,=,,IC50,nM,,19000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,19.0,PIM1 kinase
,,2247160,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1oc(C)c(C(=O)NCC(=O)O)c1C(=O)NCC(=O)O,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '15.37', 'le': '0.30', 'lle': '5.06', 'sei': '3.14'}",CHEMBL510354,,CHEMBL510354,4.58,0,http://www.openphacts.org/units/Nanomolar,748448,=,1,1,=,,IC50,nM,,26000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,26.0,PIM1 kinase
,,2247161,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1oc(C)c(C(=O)O)c1COc1ccccc1C(=O)O,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '17.99', 'le': '0.34', 'lle': '2.35', 'sei': '5.39'}",CHEMBL467436,,CHEMBL467436,5.22,0,http://www.openphacts.org/units/Nanomolar,748534,=,1,1,=,,IC50,nM,,6000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,6.0,PIM1 kinase
,,2247162,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CN1C(=O)/C(=C\c2ccc(-c3cccc(C(=O)O)c3)o2)SC1=S,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '13.41', 'le': '0.27', 'lle': '2.29', 'sei': '4.83'}",CHEMBL512260,,CHEMBL512260,5.22,0,http://www.openphacts.org/units/Nanomolar,748535,=,1,1,=,,IC50,nM,,6000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,6.0,PIM1 kinase
,,2247163,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(c1ccc2c(c1)C(=O)N(c1ccccc1C(=O)O)C2=O)c1ccc2c(c1)C(=O)N(c1ccccc1C(=O)O)C2=O,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '9.09', 'le': '0.17', 'lle': '1.18', 'sei': '3.06'}",CHEMBL449985,,CHEMBL449985,5.10,0,http://www.openphacts.org/units/Nanomolar,748536,=,1,1,=,,IC50,nM,,8000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,8.0,PIM1 kinase
,,2247164,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)Cn1c(CCCCc2nc3ccccc3n2CC(=O)O)nc2ccccc21,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '13.28', 'le': '0.25', 'lle': '2.28', 'sei': '4.90'}",CHEMBL467435,,CHEMBL467435,5.40,0,http://www.openphacts.org/units/Nanomolar,748537,=,1,1,=,,IC50,nM,,4000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,4.0,PIM1 kinase
,,2247165,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Nc1ncnc2[nH]c(SCCC(=O)O)nc12,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '19.64', 'le': '0.40', 'lle': '4.20', 'sei': '3.99'}",CHEMBL510282,,CHEMBL510282,4.70,0,http://www.openphacts.org/units/Nanomolar,748538,=,1,1,=,,IC50,nM,,20000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,20.0,PIM1 kinase
,,2247166,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(-c2ccc(CCC(=O)O)n2CC(=O)O)cc1,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '17.13', 'le': '0.32', 'lle': '2.35', 'sei': '6.19'}",CHEMBL512261,,CHEMBL512261,4.92,0,http://www.openphacts.org/units/Nanomolar,748539,=,1,1,=,,IC50,nM,,12000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,12.0,PIM1 kinase
,,2247167,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CCc1ccc(-c2ccc(F)cc2)n1CC(=O)O,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '17.32', 'le': '0.33', 'lle': '2.65', 'sei': '6.34'}",CHEMBL466401,,CHEMBL466401,5.05,0,http://www.openphacts.org/units/Nanomolar,748540,=,1,1,=,,IC50,nM,,9000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,9.0,PIM1 kinase
,,2247168,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)c1ccc(S(=O)(=O)c2ccc(Sc3ccc(C(=O)O)c(C(=O)O)c3)cc2)cc1,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '11.39', 'le': '0.23', 'lle': '1.45', 'sei': '3.58'}",CHEMBL460348,,CHEMBL460348,5.22,0,http://www.openphacts.org/units/Nanomolar,748205,=,1,1,=,,IC50,nM,,6000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,6.0,PIM1 kinase
,,2247169,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)c1ccc(Oc2ccc(S(=O)(=O)c3ccc(C(=O)O)c(C(=O)O)c3)cc2)cc1,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '11.30', 'le': '0.22', 'lle': '1.59', 'sei': '3.22'}",CHEMBL460347,,CHEMBL460347,5.00,0,http://www.openphacts.org/units/Nanomolar,748206,=,1,1,=,,IC50,nM,,10000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,10.0,PIM1 kinase
,,2247170,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CN1C(=O)/C(=C2/C(=O)N(CC(=O)O)c3ccccc32)SC1=S,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '12.91', 'le': '0.27', 'lle': '4.12', 'sei': '4.24'}",CHEMBL517107,,CHEMBL517107,4.89,0,http://www.openphacts.org/units/Nanomolar,748207,=,1,1,=,,IC50,nM,,13000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,13.0,PIM1 kinase
,,2247171,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CN1C(=O)/C(=C2\SC(=S)N(C(Cc3ccccc3)C(=O)O)C2=O)c2ccccc21,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '11.79', 'le': '0.24', 'lle': '3.13', 'sei': '4.79'}",CHEMBL409315,,CHEMBL409315,5.52,0,http://www.openphacts.org/units/Nanomolar,748208,=,1,1,=,,IC50,nM,,3000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,3.0,PIM1 kinase
,,2247172,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CN1C(=O)/C(=C2\SC(=S)N(NC(=O)c3ccccc3O)C2=O)c2ccccc21,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '10.89', 'le': '0.22', 'lle': '3.22', 'sei': '3.90'}",CHEMBL517857,,CHEMBL517857,4.96,0,http://www.openphacts.org/units/Nanomolar,748284,=,1,1,=,,IC50,nM,,11000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,11.0,PIM1 kinase
,,2247173,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CN1C(=O)/C(=C2\SC(=S)N(c3ccc(Br)cc3)C2=O)c2ccccc21,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '10.99', 'le': '0.25', 'lle': '1.56', 'sei': '6.70'}",CHEMBL459501,,CHEMBL459501,5.22,0,http://www.openphacts.org/units/Nanomolar,748285,=,1,1,=,,IC50,nM,,6000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,6.0,PIM1 kinase
,,2247174,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CN1C(=O)/C(=C2\SC(=S)NC2=O)c2ccccc21,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '15.75', 'le': '0.33', 'lle': '4.07', 'sei': '5.82'}",CHEMBL462260,,CHEMBL462260,5.05,0,http://www.openphacts.org/units/Nanomolar,748442,=,1,1,=,,IC50,nM,,9000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,9.0,PIM1 kinase
,,2247175,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1oc(CSCCSCc2cc(C(=O)O)c(C)o2)cc1C(=O)O,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '14.31', 'le': '0.30', 'lle': '1.25', 'sei': '5.25'}",CHEMBL461840,,CHEMBL461840,5.30,0,http://www.openphacts.org/units/Nanomolar,748286,=,1,1,=,,IC50,nM,,5000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,5.0,PIM1 kinase
,,2247176,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(CSCc2cc(C(=O)O)c(C)o2)oc1C(=O)O,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '16.83', 'le': '0.34', 'lle': '1.90', 'sei': '5.18'}",CHEMBL512049,,CHEMBL512049,5.22,0,http://www.openphacts.org/units/Nanomolar,748287,=,1,1,=,,IC50,nM,,6000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,6.0,PIM1 kinase
,,2247177,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(OCc2ccoc2C(=O)O)cc1C,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '20.14', 'le': '0.38', 'lle': '1.79', 'sei': '8.31'}",CHEMBL447111,,CHEMBL447111,4.96,0,http://www.openphacts.org/units/Nanomolar,748541,=,1,1,=,,IC50,nM,,11000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,11.0,PIM1 kinase
,,2247178,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)c1oc2ccccc2c1CSc1ccccn1,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '16.01', 'le': '0.31', 'lle': '0.75', 'sei': '7.21'}",CHEMBL448841,,CHEMBL448841,4.57,0,http://www.openphacts.org/units/Nanomolar,748542,=,1,1,=,,IC50,nM,,27000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,27.0,PIM1 kinase
,,2247179,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1oc(CSCC2CCCO2)cc1C(=O)O,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '18.71', 'le': '0.39', 'lle': '2.10', 'sei': '8.04'}",CHEMBL505863,,CHEMBL505863,4.80,0,http://www.openphacts.org/units/Nanomolar,748543,=,1,1,=,,IC50,nM,,16000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,16.0,PIM1 kinase
,,2247180,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CCNc1ccc(Br)cc1C(=O)O,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '15.60', 'le': '0.38', 'lle': '2.46', 'sei': '5.19'}",CHEMBL500760,,CHEMBL500760,4.50,0,http://www.openphacts.org/units/Nanomolar,748544,=,1,1,=,,IC50,nM,,32000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,32.0,PIM1 kinase
,,2247181,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CCC1(CCC(=O)O)c2ccccc2-c2ccccc21,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '13.86', 'le': '0.26', 'lle': '0.62', 'sei': '5.77'}",CHEMBL511379,,CHEMBL511379,4.30,0,http://www.openphacts.org/units/Nanomolar,748545,=,1,1,=,,IC50,nM,,50000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,50.0,PIM1 kinase
,,2247182,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(O)c12)c1ccccc1,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '10.79', 'le': '0.22', 'lle': '2.28', 'sei': '2.89'}",CHEMBL145352,,CHEMBL145352,4.57,0,http://www.openphacts.org/units/Nanomolar,748546,=,1,1,=,,IC50,nM,,27000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,27.0,PIM1 kinase
,,2247183,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CC1([N+](=O)[O-])CN(CCC(=O)O)CN(CCC(=O)O)C1,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '14.87', 'le': '0.29', 'lle': '4.75', 'sei': '3.46'}",CHEMBL468905,,CHEMBL468905,4.30,0,http://www.openphacts.org/units/Nanomolar,748547,=,1,1,=,,IC50,nM,,50000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,50.0,PIM1 kinase
,,2247184,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CCn1c(=O)[nH]c(=O)n(CCC(=O)O)c1=O,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '16.40', 'le': '0.32', 'lle': '6.83', 'sei': '2.96'}",CHEMBL469106,,CHEMBL469106,4.48,0,http://www.openphacts.org/units/Nanomolar,748631,=,1,1,=,,IC50,nM,,33000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,33.0,PIM1 kinase
